id,title,original_air_date,season,number_in_season,us_viewers_in_millions,imdb_rating,image_url,video_url
565,Walking Big & Tall,2/8/15,26,13,2.78,6.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/532/854/TheSimpsons_TABF06_2500_1280x720_395693635752.jpg,http://www.simpsonsworld.com/video/395694659511
566,My Fare Lady,2/15/15,26,14,2.67,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/980/875/TheSimpsons_TABF07_2500_1280x720_399381571566.jpg,http://www.simpsonsworld.com/video/399385667625
567,The Princess Guide,3/1/15,26,15,3.93,6.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/276/239/TheSimpsons_TABF08_2500_1280x720_406150723868.jpg,http://www.simpsonsworld.com/video/406163011894
568,Sky Police,3/8/15,26,16,3.79,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/880/1014/TheSimpsons_TABF09_2500_1280x720_410016835657.jpg,http://www.simpsonsworld.com/video/410018371522
569,Waiting for Duffman,3/15/15,26,17,3.59,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/72/71/TheSimpsons_TABF10_b_1280x720_420421187988.jpg,http://www.simpsonsworld.com/video/420981315819
570,Peeping Mom,4/19/15,26,18,3.23,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/887/903/TheSimpsons_TABF11_1280x720_430425155986.jpg,http://www.simpsonsworld.com/video/430426691868
571,The Kids Are All Fight,4/26/15,26,19,3.33,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/850/987/TheSimpsons_TABF12_1280x720_434681923645.jpg,http://www.simpsonsworld.com/video/434682947703
572,Let's Go Fly a Coot,5/3/15,26,20,3.12,6.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/307/715/TheSimpsons_TABF13_1280x720_438403139879.jpg,http://www.simpsonsworld.com/video/438408259807
573,Bull-E,5/10/15,26,21,2.77,6.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/475/879/TheSimpsons_TABF15_1280x720_442878531850.jpg,http://www.simpsonsworld.com/video/442879555692
574,Mathlete's Feat,5/17/15,26,22,2.82,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/999/75/TheSimpsons_TABF16_1280x720_446647875723.jpg,http://www.simpsonsworld.com/video/446649411760
575,Every Man's Dream,9/27/15,27,1,3.28,5.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/529/403/TheSimpsons_TABF14_1280x720_533027395692.jpg,http://www.simpsonsworld.com/video/770426947744
576,Cue Detective,10/4/15,27,2,6.02,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/690/39/TheSimpsons_TABF17_1280x720_538102339785.jpg,http://www.simpsonsworld.com/video/770595395906
577,Puffless,10/11/15,27,3,3.31,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/80/527/TheSimpsons_TABF19b_1280x720_546148419631.jpg,http://www.simpsonsworld.com/video/772103747997
578,Halloween of Horror,10/18/15,27,4,3.69,7.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/528/427/TheSimpsons_TABF22_1280x720_546469443783.jpg,http://www.simpsonsworld.com/video/770425923947
579,Treehouse of Horror XXVI,10/25/15,27,5,6.75,6.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/535/259/TheSimpsons_TABF18_1280x720_551644227791.jpg,http://www.simpsonsworld.com/video/770433091920
580,Friend with Benefit,11/8/15,27,6,3.48,6.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/539/163/Simpsons_27_06.jpg,http://www.simpsonsworld.com/video/770437187884
581,Lisa with an 'S',11/22/15,27,7,5.64,6.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/520/119/fox_TheSimpsons_TABF20_hulu.jpg,http://www.simpsonsworld.com/video/770417219938
582,Paths of Glory,12/6/15,27,8,5.53,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/524/1022/Simpsons_27_08.jpg,http://www.simpsonsworld.com/video/770422339536
583,Barthood,12/13/15,27,9,5.97,8.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/526/474/fox_TheSimpsons_VABF02_hulu.jpg,http://www.simpsonsworld.com/video/770423875541
584,The Girl Code,1/3/16,27,10,4.41,6.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/536/734/Simpsons_27_10.jpg,http://www.simpsonsworld.com/video/770434627559
585,Teenage Mutant Milk-Caused Hurdles,1/10/16,27,11,8.33,6.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/532/331/Simpsons_27_11.jpg,http://www.simpsonsworld.com/video/770430019813
586,Much Apu About Something,1/17/16,27,12,3.95,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/550/898/Simpsons_27_12.jpg,http://www.simpsonsworld.com/video/770449475567
587,Love Is in the N2-O2-Ar-CO2-Ne-He-CH4,2/14/16,27,13,2.89,6.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/541/615/Simpsons_27_13.jpg,http://www.simpsonsworld.com/video/770439747712
588,Gal of Constant Sorrow,2/21/16,27,14,3.1,6.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/552/851/simp_Gal_of_Constant_Sorrow-VABF06Sc1117_hires2.jpg,http://www.simpsonsworld.com/video/770451523845
589,Lisa the Veterinarian,3/6/16,27,15,3.09,6.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/553/827/simp_VABF08_Sc_1043_hires2.jpg,http://www.simpsonsworld.com/video/770452547696
590,The Marge-ian Chronicles,3/13/16,27,16,3.07,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/972/271/simp_The_Marg-ian_Chronicles_VABF09-Sc3022_hires2.jpg,http://www.simpsonsworld.com/video/770891331927
591,The Burns Cage,4/3/16,27,17,2.32,6.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/974/722/Simpsons_27_17.jpg,http://www.simpsonsworld.com/video/770893891557
592,How Lisa Got Her Marge Back,4/10/16,27,18,2.55,6.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/974/723/fox_TheSimpsons_VABF11_hulu.jpg,http://www.simpsonsworld.com/video/770893891750
593,Fland Canyon,4/24/16,27,19,2.77,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/975/199/simp_Fland_Canyon_VABF12Sc2032_hires2.jpg,http://www.simpsonsworld.com/video/770894403718
594,To Courier with Love,5/8/16,27,20,2.52,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/79/51/fox_TheSimpsons_VABF14_hulu.jpg,http://www.simpsonsworld.com/video/772102211921
595,Simprovised,5/15/16,27,21,2.8,6.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/973/247/fox_TheSimpsons_VABF13_hulu.jpg,http://www.simpsonsworld.com/video/770892355976
596,Orange Is the New Yellow,5/22/16,27,22,2.54,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/88/335/fox_TheSimpsons_VABF15_hulu.jpg,http://www.simpsonsworld.com/video/772111939897
597,Monty Burns' Fleeing Circus,9/25/16,28,1,3.36,6.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/605/927/Simpsons_2720_MontyCircus_Sc1064_hires2_hires2_1280x720_772657731562.jpg,http://www.simpsonsworld.com/video/772654659902
598,"Friends and Family""[203]",10/2/16,28,2,,,,
599,"The Town""[205]",10/9/16,28,3,,,,
600,"Treehouse of Horror XXVII""[207]",10/16/16,28,4,,,,
